sample_id,file,snr_db,velocity_kmh,kmax,num_paths,max_delay,pilot_snr_db,pilot_power,noise_power,M,N,split
0,sample_000000.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,train
1,sample_000001.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,train
2,sample_000002.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,train
3,sample_000003.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,train
4,sample_000004.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,train
5,sample_000005.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,train
6,sample_000006.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,validation
7,sample_000007.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,train
8,sample_000008.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,test
9,sample_000009.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,train
10,sample_000010.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,train
11,sample_000011.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,validation
12,sample_000012.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,test
13,sample_000013.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,test
14,sample_000014.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,test
15,sample_000015.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,train
16,sample_000016.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,train
17,sample_000017.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,train
18,sample_000018.npz,10,30,0.1186005671815651,4,4,25,31.6227766016838,0.1,32,16,train
